"duration_in_seconds","response_id","intn","intn_nb","meat_belief","pol","gender","age","norm","framing"
2659,"R_296VNVvdJCY1Ojh",5,10,4,4,"female",31,"dyn","pos"
141,"R_231OgyfxNfmvwN1",4,3,10,3,"female",19,"stat","pos"
342,"R_27qYbPWAArTsPB7",4,9,30,1,"female",25,"stat","neg"
394,"R_3knDpBFJM8y9D8K",2,15,15,3,"male",43,"dyn","pos"
1100,"R_3iwfODqH6f5AAAf",3,7,27,2,"male",41,"stat","neg"
261,"R_1GvkyJJwGwS9B4f",4,18,30,4,"female",30,"dyn","neg"
361,"R_2fjQMGp9CVc4aZE",2,28,15,3,"male",20,"dyn","pos"
2591,"R_1Nny71tQAl1fWcW",4,10,30,2,"female",19,"stat","pos"
137,"R_3oyIfoG3MP4Sb7O",3,1,30,5,"female",37,"stat","pos"
155,"R_1F5tzNKhNu6HgSx",1,12,5,5,"female",46,"stat","pos"
164,"R_7VRqKPCHifG3QJz",1,12,5,5,"female",46,"stat","neg"
151,"R_C4xRIPwcW5p7yEh",4,15,25,2,"female",19,"dyn","pos"
2265,"R_1NtxSqVzKJ1NXp7",4,2,20,2,"male",71,"stat","neg"
369,"R_3FPfXaPhgBw10GT",4,4,15,2,"female",69,"dyn","neg"
2759,"R_ba76OXNvyIAatHP",4,35,35,5,"female",70,"dyn","neg"
2286,"R_3MujsPHYoO17oDj",6,10,30,1,"male",36,"stat","pos"
378,"R_1ihw5Q3nC8tXvqV",4,7,30,4,"female",19,"dyn","pos"
232,"R_AyyRIQxJV7sZqdX",3,1,30,2,"female",19,"dyn","neg"
405,"R_reUGt2Lq7ummJpf",7,9,30,3,"female",28,"dyn","neg"
484,"R_W1hfXPRLvWBjqut",1,5,20,6,"female",62,"stat","neg"
106,"R_RIANAOzaLGnOwnf",4,18,75,3,"female",20,"stat","pos"
5055,"R_1OvOCcOO45sJOQY",4,2,10,3,"female",54,"stat","neg"
109,"R_2fLht2SD3cX4f85",3,15,10,2,"female",19,"stat","pos"
210,"R_1mFtnPZnK3XmVn4",6,14,30,1,"male",39,"dyn","pos"
426,"R_2Sifk6U156t4TSU",6,2,30,2,"female",19,"stat","neg"
183,"R_3KZtwjWNRjlQkIP",4,16,20,2,"male",37,"stat","pos"
223,"R_3nMc6mRyx8DATc8",4,14,20,4,"male",21,"dyn","neg"
235,"R_2xJjtkuEwX8ltRv",2,10,40,2,"female",19,"dyn","pos"
322,"R_1PUH085LwN04dTa",4,13,60,2,"female",50,"dyn","pos"
96,"R_3NQYbFWbjcDWiH8",3,6,30,2,"female",20,"stat","pos"
2916,"R_diG6JWAgs4M3vj3",4,7,23,2,"non_binary",19,"stat","neg"
358,"R_1PSlKa56Jgdfox3",5,16,30,2,"male",20,"stat","neg"
322,"R_3GwfRnLZl2wt9dw",4,14,30,3,"female",31,"dyn","pos"
69,"R_3fJCZBlwJzMDw57",4,6,40,4,"male",19,"stat","pos"
217,"R_2q33ITIdQ6QYIof",3,3,30,1,"non_binary",19,"dyn","pos"
